model,nodes,edges,time,mem
.skriven,22,28,25,269
101companies,15,18,8,251
abapobj,191,213,15,1069
ABase,13,17,7,252
ABC,4,5,16,252
abnf,47,72,8,493
abstractcim,25,40,7,287
AbstractSyntaxStereotypesUML1.4,7,5,15,252
AbstractUI,70,68,7,353
acad,69,68,578,552
accesscontrol,45,70,10,513
accession,11,18,7,660
account,10,10,7,251
accounting,37,60,7,487
ACG,150,264,15,1047
acl,15,16,9,251
ACME,43,73,9,513
ACON,40,57,9,488
acore,31,45,14,290
action,10,10,8,252
actions,43,61,11,920
activestatedebugger,23,30,8,280
ActivitiExtensions,93,106,11,756
activity,13,19,7,272
activityDiagram,35,66,10,504
actor,45,70,95,903
ActorMapping,33,38,7,278
adapter,9,9,7,660
adaptiveSystem,61,102,10,530
AData,36,47,9,306
ada_gen,33,42,10,275
additionalTagMetadata,13,14,8,251
AddressBook,28,44,10,268
addressing,51,68,9,518
ADELFE,41,88,10,504
Adl,125,198,12,803
Ads,177,277,13,1299
After,14,22,9,249
Agate,274,466,18,1838
agents,10,10,9,455
aggregator_0.8.0,109,138,25,777
Agree,285,353,18,1117
AIP,12,14,8,261
AIService,12,19,8,251
AjModel,46,88,10,513
aladim,43,70,10,496
Alf,304,486,21,1858
Altarica,175,308,17,1315
Amble,1,0,20,244
AML,343,445,23,2101
AMN,155,286,14,1072
analysis,11,12,8,251
android,47,78,9,513
Anfelisa,11,16,6,249
annotation,7,7,6,249
annotationModelReference,3,2,8,252
annotations,22,32,9,269
Ant,170,239,16,1060
Antikythera,38,63,10,504
AntScripts,38,63,9,495
AnyLogic,114,148,10,808
APar,27,25,14,275
api2mol,45,61,7,511
apidesc,83,115,11,551
apimodel,70,100,11,539
AppChoco,21,25,7,274
AppDSL,14,23,8,260
ApplauseDsl,126,213,12,802
applet,91,118,12,768
application,152,192,18,1660
AppliedStereotypeProperty,6,6,24,249
appmodel,22,26,8,275
AppWeb,24,27,7,269
apromore,37,58,8,487
ArcadeTongame_editor,30,41,95,278
archi,47,82,12,495
archimate,165,306,15,1376
Architectural_Description,17,30,7,260
architecture,5,4,7,249
ArchitectureDSL,70,105,10,527
arduino,114,167,11,856
ares,31,35,7,283
Arithmetics,34,58,10,300
arm,36,61,10,487
article,80,146,13,750
ASL,294,307,18,963
ASM,1,0,7,445
AsmL,172,329,17,1324
ASMLogo,53,99,16,513
aspectbind,122,205,14,802
aspectj,85,138,11,804
aspectualacme,35,61,9,487
Assert,31,47,8,291
asset,187,268,15,1307
Assignments,14,18,6,258
associationoverride,12,14,8,251
ast,54,76,8,521
aterms,48,54,8,306
AthenaDSL,172,241,13,1069
ATL-0.2,142,318,17,4130
ATL-Profiler,33,41,8,277
ATL,92,172,12,972
atl2java,47,88,9,510
ATLMLM,98,183,15,998
atl_types,45,72,7,513
atm,103,102,753,778
ATOM,1,0,6,243
atomic,23,46,7,283
AtsDsl,142,197,14,833
attributes,9,11,9,252
auction,23,24,8,266
AUIML,1002,1772,60,5581
AutBE,11,12,7,251
autocgmodel,10,14,8,251
Automaton,14,20,9,252
Avm,37,70,9,496
AWKPrograms,1,0,5,272
Axdt,21,39,7,500
B,5,5,6,250
backbone,155,189,13,638
Balanced,197,260,14,1297
banner,14,16,7,260
Base,4,3,6,251
BaseCST,144,274,13,1049
BaseOutputMetamodel,10,14,8,252
BaseUI,15,22,6,260
basic,5,4,8,249
BasicBlocks,15,19,8,260
BatchDsl,25,30,8,283
BD,20,29,7,260
BDDModel,34,50,7,284
Before,97,127,10,564
bf,28,39,9,283
BibTeX,140,139,13,808
BibTeX1.1,34,66,8,493
BIBTEXML,292,323,18,2036
bigpicture,16,23,7,252
binding,25,31,10,676
bindingdialect,18,34,8,284
bio_src,51,62,9,521
bio_tgt,47,57,10,510
BippoMall,10,10,106,251
Bitbucketmgr,10,11,8,249
BlockClassBase,12,17,9,464
blockDomain,33,63,8,496
bluexml,272,391,19,1494
BMM,80,155,11,763
bmmOmg,132,358,15,1072
Bnl,3,2,7,252
bodymodel,57,102,9,519
BON,66,117,9,524
bonide,63,83,11,530
bonide_PandO,83,133,12,558
BONModel_EMF,83,133,11,546
Book,67,90,12,518
books,8,8,7,252
bookStore,32,49,10,283
bool,13,22,9,261
BooleanExpressions,26,37,8,281
bootstrap,46,74,7,513
Bossa,318,510,20,2093
bowling,21,28,9,269
box,55,76,8,518
BoxMM,29,58,6,301
bpeldiag,5,3,6,251
BPM,13,18,9,279
bpmn,107,195,11,799
bpmn20,491,872,30,3485
bpmn20di,34,46,11,487
bpmn20exec,11,12,9,260
bpmn20_ttc,633,1146,33,4115
bpmndi,35,42,10,1711
bpsim,197,291,31,1349
BQL,23,34,9,269
BrnHandlers,361,532,22,2195
BrokerDSL,260,259,14,746
Bugzilla,13,11,7,251
Build,13,12,8,260
BuildDSL,13,16,8,272
builder,31,50,9,482
building,182,225,43,11527
builtins,21,16,9,256
BundleProject,104,124,12,798
business,72,136,9,549
BusinessDomainDsl,91,149,13,789
BusinessEntityModel,19,36,10,280
BusinessObjectDsl,22,31,6,275
BusinessProcessModel,44,87,10,526
Byteman,126,199,12,818
bz377606,9,9,9,252
C,11,18,8,249
cache_model,19,19,8,265
CADM,106,210,11,824
Cal,210,354,16,1388
calc,51,82,12,513
Calendar,31,42,9,292
caltrop,68,97,85,1087
camel-spring,1584,2633,79,10775
canopen,958,1314,43,5861
canvas,14,20,7,244
CaPtah,32,51,7,295
capua,40,78,10,518
car,13,21,5,259
CardTemplate,11,13,6,243
carnot,499,928,32,3784
carrental,22,24,7,264
Cars,22,26,9,257
cartesianCoordinateSystem,27,41,22,280
cascadenotall,17,23,9,260
catalog,26,31,8,280
caz,28,41,9,459
cbe,90,110,12,756
CD,38,61,8,496
CDE,15,22,7,241
cdfg,80,136,12,545
CDPSM,415,628,26,2726
CellCore,13,21,8,244
CellEvol,3,2,24,244
CellInit,3,2,9,243
CEPMeta,23,28,12,479
cf,45,127,12,1068
CFG,15,28,10,279
cgmodel,162,307,17,1254
CharacterScript,65,84,11,519
checklist,25,25,7,259
chess,48,64,8,499
ChocoModel,52,81,7,512
ChooseEditor,72,172,11,552
cim,1167,1454,42,5906
CIM14,3290,5293,159,10165
CIM15,4371,7722,228,19295
CIMLevelZero,1167,1454,44,5963
cinematic,76,130,12,549
city1,15,18,9,224
city2,13,16,10,208
cityfurniture,24,24,32,4451
citygml,62,74,36,4920
cityobjectgroup,39,41,30,3666
CL,90,118,13,1332
claim,19,25,8,267
Class,1,0,21,251
ClassDiagram,42,63,8,481
classDomain,41,71,8,494
ClassicModels,77,120,13,543
classification,16,18,10,250
ClassMM,19,27,9,265
ClassModel,76,112,9,537
class_diagramm,49,72,18,481
class_diagramm_simple,17,16,7,251
class_diagramm_tgg_rule,22,21,9,419
client,84,91,11,513
Clientes,26,30,10,256
closures,8,8,10,227
cloud,8,9,7,227
CloudML,63,102,105,484
cm,54,72,11,476
cmd,24,35,9,419
cmengine,106,195,12,901
CML,1,0,6,403
cmsl,149,183,12,769
cmt.owl,88,204,10,720
Coaster,28,30,8,254
COBOL,64,86,9,484
Cocus.owl,164,345,54,1327
codeAssistStruts,58,74,12,472
codesyncjava,41,38,9,257
codesyncxml,7,11,7,227
Collaborations_Interactions_UML,48,101,9,475
CollaborativeMDEProcess,33,44,13,445
collaviz,43,66,10,449
collection,22,24,10,975
com.ibm.commerce.catalog.facade.datatypes,702,947,63,6291
com.ibm.commerce.content.facade.datatypes,395,545,50,9639
com.ibm.commerce.contract.facade.datatypes,41,54,36,6253
com.ibm.commerce.foundation.datatypes,530,586,49,5615
com.ibm.commerce.giftcenter.facade.datatypes,129,158,195,13809
com.ibm.commerce.infrastructure.facade.datatypes,125,167,36,13792
com.ibm.commerce.installment.facade.datatypes,140,187,41,5035
com.ibm.commerce.inventory.facade.datatypes,132,161,44,6319
com.ibm.commerce.marketing.facade.datatypes,563,740,61,10861
com.ibm.commerce.member.datatypes,74,83,33,12069
com.ibm.commerce.member.facade.datatypes,337,431,46,6377
com.ibm.commerce.oagis9.datatypes.codelists,282,281,16,1505
com.ibm.commerce.oagis9.datatypes,2361,3760,153,7914
com.ibm.commerce.oagis9.datatypes.unqualifieddatatypes,72,71,12,1735
com.ibm.commerce.order.facade.datatypes,464,583,52,8347
com.ibm.commerce.payment.datatypes,219,289,38,13115
com.ibm.commerce.price.facade.datatypes,290,394,50,8073
