model,nodes,edges,time,mem
CSS,47,46,84,362
WrspmDomainmodel,10,14,36,297
experiment,5,4,53,546
modembed,203,352,102,1360
xmof,245,431,51,1623
JavaSource,13,22,13,306
bmmOmg,132,358,36,1017
training,20,31,15,312
After,14,22,13,297
SortMerge,10,11,13,312
IdObjectsDsl,34,33,16,332
editor,433,703,74,2485
XUL-Interactorl,97,141,27,676
murdercase,18,23,13,307
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,30,950
ds,126,154,33,970
Spec,58,98,20,616
tigerstripe-core,179,244,37,1022
CoreDsl,182,261,36,1015
ViewPointAD,39,48,18,352
Gatekeeper,172,241,35,1009
TroposIntegratingActorConcept,8,13,13,297
ChooseEditor,87,186,27,675
jobtool,31,41,17,351
designNotes,6,5,12,297
tbool,8,7,12,292
classification,16,18,15,312
storymodel,45,58,18,352
PDL2,23,31,16,307
org.eclipse.emf.cdo.defs,29,39,16,316
Notation,80,98,21,382
GameServerModel,38,72,17,601
RobotTask,52,76,17,606
picu,6,4,12,292
taskmodel,164,250,33,999
ModelQueryLanguage,11,11,13,297
RFCMapping,72,94,20,630
General,192,218,37,1024
rails,21,30,13,307
wcs100,268,372,68,2499
ServiceFeatureModel,97,127,25,661
GraphML,49,74,18,614
martinfowlerdsl,19,30,15,331
Room,263,438,49,1642
c_sharp,444,810,70,2764
ConditionModel,27,42,15,322
confious.owl,377,779,71,3089
hbmodel,50,53,19,616
SRM,16,21,14,317
graal-featureextensions,4,3,12,297
componentCore,36,45,17,342
ares,31,35,78,332
Contract,10,15,37,312
HaxeDSL,41,57,17,346
org.eclipse.jst.server.generic.servertype,82,98,26,646
rolebinding,16,19,17,317
AbstractUI,5,4,54,319
ddic,133,154,94,970
diagram,3,2,12,297
GAIA,124,158,26,749
NHSM,9,12,13,312
Xtype,15,15,13,317
esb,215,304,41,1360
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,73,296
org.eclipse.emf.cdo.server.defs,55,60,19,362
closures,8,8,12,294
UIML-3.0,11,12,17,566
customer,33,38,17,332
trustMetamodel,35,45,17,347
JKind,78,131,23,641
Enumliterals2,9,9,13,314
ComDiag,14,23,14,306
salesystem,9,12,12,319
tracability,25,43,16,332
environment,96,176,27,681
VDMapping,9,10,12,296
PPTP,40,65,18,347
kompicsComponents,41,65,18,347
PetriNets,14,31,15,312
em,26,25,15,341
MSOfficeExcel_SpreadsheetMLPrintingSetup,514,630,85,2207
fact,75,103,28,895
opmodel,63,106,22,631
Modulob,55,73,22,606
TefkatTrace,17,22,13,307
ObserverAdvice,5,8,11,291
JavaAbstractSyntax,1,0,15,800
diagnostic,12,13,13,314
gmfgraph_1.26,218,341,42,1428
SimpleGMF,5,5,12,294
TextualWorkbench,217,319,55,1581
Perceptory,1,0,10,292
StructuredText,231,228,36,820
ETPhys,47,60,19,606
rosResolutionModel,36,48,34,352
AsmL,172,329,33,1370
builtins,4,3,11,297
tableur_visitable_aspects,16,27,14,312
ProMarte,336,618,60,2211
tracemodel,79,141,25,641
cp1model,30,41,14,346
symbol,107,172,29,929
expr,12,13,13,297
CPL,91,138,24,716
HelloJvmTypes,13,13,14,297
compose,48,79,20,616
api2mol,45,61,18,351
UMLDI-ModelManagement,26,50,16,346
PCS.owl,1184,2425,297,2124
webproject,27,32,16,355
Genesis,22,32,14,366
UserSpiele,20,21,15,355
lcoordinates,16,18,14,344
miner,26,32,16,352
SimpleUML,12,16,13,344
operations,14,15,20,636
frontend.koan,22,33,13,366
XML,25,36,16,355
HTML,172,241,35,1129
ETMap,19,22,15,355
UMLForOOClassModeling,41,58,17,377
CollaborativeMDEProcess,33,44,15,366
actions,43,61,20,961
AutBE,11,12,12,344
EXPRESSb,531,1066,93,3276
ebnfmm,24,43,16,350
ProofProcess-v1.0.0.11,49,74,19,399
QVT_SimpleUML,29,58,16,367
ASMLogo,120,165,25,770
Collaborations_Interactions_UML,43,97,19,411
component.bpel,9,9,13,344
com.ibm.commerce.subscription.facade.datatypes,75,99,183,14771
SecureUML,1,0,10,321
bpmn,172,259,35,1082
RobotMLLibraries,381,476,63,2111
controller,8,8,12,328
RelationsToTraceClass,23,22,16,344
EclipseLaunchConfigurations,135,147,25,467
SonarModelBusPlugin,21,28,13,359
CIM15,4378,7728,716,14888
instance,80,138,59,3355
dependency,24,38,15,234
library_types,1,0,9,183
GeoTrans,1,0,9,218
eJava,40,42,17,350
Class,1,0,9,170
cpc,17,22,13,216
sbvrOMG,272,532,54,2512
RecordMapper,23,27,16,360
Equipment,419,672,85,2871
Physis,15,14,14,211
PrimitiveTypes,15,14,14,206
aspectj,85,138,23,735
ID,8,8,12,201
COBOL,64,86,21,536
Cal,210,354,43,1318
SCADE,443,924,84,2990
QVTOperationalCS,211,276,41,1302
statemachine_metamodel,8,10,13,206
VisualizationModel,19,27,14,206
DTInfo,27,32,16,346
Copy of component.camel,254,314,121,5748
com.ibm.commerce.oagis9.datatypes.codelists,282,281,106,1347
Dc6,28,38,15,359
XMorphLanguage_abstractSyntax,1,0,10,338
it.matiuz.menumaker.model,21,21,15,213
Elf,14,17,13,197
BlockClassBase,12,17,16,478
State,24,36,18,354
XBNFwithCardinality,8,12,16,343
MongoSQL,68,93,20,564
event,84,140,23,576
tp4,50,71,20,387
EqualMM,26,56,18,499
MiniJava,95,170,26,758
modembedmodel,81,136,23,580
SharedPreferencesModel,27,34,15,375
class_diagramm_simple,17,16,12,191
graph,22,30,15,213
ArchitectureDSL,70,105,21,570
UCTE,298,521,68,2331
unifiedflat,385,476,61,1962
rif11a_xsd,425,586,84,2803
Persons,5,6,72,197
Geographical,331,373,51,1105
PL1,46,77,18,383
extractor,14,14,15,338
gbind,268,572,56,1893
TPTPStaticAnalysisUtilities,64,96,20,564
discovery,25,28,16,354
newsletter,5,4,12,196
Alf,304,486,54,1887
bpmn20di,34,46,19,369
directory,95,119,24,596
aspectbind,122,205,29,922
SQLXMLQueryModel,223,387,43,1501
ParsedMetadata,22,35,77,348
henshin,85,162,27,731
asset,187,268,42,1288
BibTeX,140,139,29,933
component.common.selector,17,20,20,645
SemanticDB,29,37,16,375
strategy-agent-engine,5,4,11,180
APar,21,20,15,359
FeatureDiagrams,31,56,17,381
FoundationModel,168,221,34,1024
Series,4,3,11,192
bpsim,265,358,52,1550
jamopp,390,811,173,5639
SimplifiedJMLModel,11,12,11,196
Sal,71,111,22,577
Clientes,26,30,15,357
olark,8,8,11,207
Assignments,14,18,13,198
EAI,11,15,13,213
sgraph,61,107,372,700
mindEd.ide,61,108,21,560
city2,13,16,14,193
pub_tgt,31,33,15,212
FCM,128,151,29,790
ASM,1,0,73,334
crossx,22,30,15,352
soopl,67,120,22,612
spreadsheet,11,19,13,190
GraphicalProcessEditorModel,20,31,15,204
camel-spring,1584,2633,297,2298
MTRANS,39,75,19,444
writers,16,15,16,228
performance,28,38,16,227
things,49,79,18,428
T6,10,17,14,222
Before,38,69,17,421
lob,6,5,12,214
IFConfiguration,72,118,23,638
extension,5,4,12,201
example,23,42,16,226
UMLDI,3,1,57,715
ServiceDsl,44,75,18,427
policy,44,58,20,426
Resolute,69,116,22,633
emffrag_internal,7,6,12,218
ImperativeOCLCS,68,88,21,626
interpreter,4,3,11,214
MoMM,1,0,9,214
ThreeJsWrapperDescriptionLanguage,45,60,18,422
ProjectTrackerResources,7,7,11,200
Jess,126,236,32,886
CharacterScript,53,74,19,452
zvisclasses,20,22,15,218
rule,24,28,15,235
FractalIdt,9,9,12,218
ObjectNotation,37,54,18,414
android,47,78,20,428
gameserver,8,15,13,218
gmfgraph_1.30,264,390,48,1536
SiSiPNML,7,6,12,218
catalog,26,31,16,248
RelationalDBContent,15,28,14,223
QVTcCST,50,67,20,428
Program,5,5,12,218
pushbuttonbuild,22,25,17,416
EMOF,79,128,23,520
connector-configuration,9,9,11,384
Problem,248,247,39,685
timedAutomata,269,436,50,1568
Promenade,1,0,10,214
knowledge,18,27,14,222
CloudML,63,102,21,469
tableur_modifie,12,20,14,217
spem2,300,521,55,1795
frontend.chain,21,36,16,222
component.clojure,8,8,13,222
GenModel,186,240,39,1101
enactment,15,18,13,226
QVTrCST,72,91,22,625
archimate,165,306,37,1330
WikiTable,20,26,14,227
decobat,94,102,24,655
waqtsalat,36,36,15,242
bluexml,272,391,49,1565
simplemath,23,37,16,234
demo,19,23,14,225
AMN,303,433,50,1319
ABC,4,5,11,213
saltSemantics,15,14,14,218
UEMLExtensionDynamicAspects,55,130,21,624
volere,18,21,14,227
resourcemanager,9,10,14,218
models1,74,100,30,1143
sec,29,41,16,419
typemodel,57,63,18,434
CIMLevelZero,1167,1454,153,6040
FacesConfig,601,907,117,3868
Protocol,3,2,11,205
fsml,8,8,13,218
debug,8,7,13,211
FlatQVT,416,837,143,898
scl,811,1045,125,4790
sla,25,33,15,272
ExampleEMF,17,28,15,286
Automaton,14,20,14,263
flat11,86,113,26,763
FlowDsl,45,57,19,518
family,18,25,14,260
school,33,63,16,283
TargetPlatform,16,18,13,253
Sharengo,20,33,15,263
LibraryInteractionModel,41,56,17,491
plsql,223,355,44,1367
DslECharts,97,140,25,591
plaModel2,54,83,19,524
sequence_diagram,47,78,19,519
modules,43,48,17,494
syncchartsExtended,3,2,11,255
customerBehaviour,37,54,18,282
EBC,29,28,15,285
ctx,31,54,16,302
etsl,13,21,13,250
LibClasses,11,21,13,255
person,9,9,10,260
CFG,15,28,13,263
Calendar,31,42,16,280
e2,42,56,18,513
JavaBehavior4UML,11,10,14,255
frontend.attribution,30,50,16,293
ir,144,231,33,1052
embedded,13,18,15,263
imgpro,106,141,25,794
JavaVMTypes,118,212,30,1024
VisualizationDsl,17,24,13,274
sokan,39,50,18,497
CellInit,3,2,12,255
iolist,161,203,33,1070
office,10,16,14,255
XWTWorkBench,62,60,20,335
WebApplications_ConceptualModel,54,112,20,533
UnifiedOntologyLanguage,1,0,9,246
XSchema,1,0,11,463
Glsl,160,277,35,1070
process,19,30,15,286
UmlMessage,8,7,13,255
RequirementSourcesConf,3,2,13,249
travel,38,62,16,510
moduleCore,27,33,15,285
cor,13,12,17,472
workspaceModel,7,11,12,255
multichoice,35,44,17,279
mmiEvents,192,279,35,1310
format,9514,12936,1509,42455
PolicyEngine,21,29,14,363
jdsl,48,62,20,444
Amble,1,0,9,192
StateChart,22,31,16,238
OCLStates,24,33,15,248
overview,3,2,12,215
taxonomy-builtin,24,22,15,214
ProofProcess-v1.0.0.10,48,73,19,370
emfacade,121,156,57,1011
config.switchyard,103,141,29,856
parsingmodel,9,13,13,197
pannotation,175,235,36,1080
CPNDefinition,16,23,15,334
adaptiveSystem,61,102,21,526
SimplePDL,21,34,15,332
kevoree2,17,25,14,211
original,14,29,14,191
Images,3,2,11,173
cgmodel,232,376,48,1459
OotDatabase,113,111,25,583
entityrelation,40,66,18,372
WorkDefinitions,23,52,15,353
javaformscodegen,75,72,19,268
lmaintenance,45,44,17,247
gmfmap_2007,139,232,36,1065
webpage,19,21,15,329
petri_nets,10,14,12,179
UML_withReuseContracts,26,38,15,347
com.ibm.commerce.payment.datatypes,219,289,187,8410
AppChoco,27,30,16,226
jaxrpcmap,87,107,25,608
eocl,3,2,12,190
CL,90,118,36,1326
Urban,93,124,24,617
KM3,43,89,19,408
parser,37,42,19,430
XMIWorkspace,27,26,15,216
sketch,11,11,13,205
PartialStateDescription,66,123,21,589
org.eclipse.wst.ws.internal.model.v10.rtindex,19,23,20,684
requirements,76,108,22,584
EcdarText,247,447,49,1626
Forms,169,235,40,1252
jex,60,94,21,424
CIM14,3292,5294,537,11951
phenotype,7,7,17,546
Eso,26,30,16,321
uml2diff,16,28,14,288
generatedModel,15,23,15,305
setup,58,97,22,474
Roco2,104,161,27,662
LaTeX,82,105,24,502
property,6,5,12,302
transent,6,6,12,184
org.eclipse.wst.ws.internal.model.v10.taxonomy,24,30,16,310
PetriNet,25,29,15,320
PNML_basic,133,266,34,974
Daos,15,18,14,310
SEE_Design,26,47,15,316
stakeholder,22,23,15,320
GUI,106,132,26,656
text,26,43,15,321
MSProject2,1,0,10,299
OO_concept_initial,38,69,17,331
spreadsheetModified,31,39,15,310
vb,265,403,48,1469
Unql,17,19,13,304
UEMLExtensionModelingAspects,57,136,22,508
graphiti,171,269,37,1091
cmsl,63,102,22,479
rdf,55,117,21,612
ext,10,8,12,183
Constraints,32,54,16,316
v41,110,129,32,929
additionalTagMetadata,13,14,14,183
Scilab,1,0,12,391
Scenario,8,7,18,548
Dsl,189,318,39,1245
Xscript,12,11,13,189
Leveleditor,238,295,43,1233
database,75,136,24,650
Content,69,104,24,606
uma,348,462,71,2500
rolemetamodel,16,25,12,310
activestatedebugger,23,30,14,316
com.ibm.commerce.oagis9.datatypes.unqualifieddatatypes,72,71,35,1627
scrum,29,37,17,326
com.ibm.commerce.foundation.datatypes,164,221,168,7370
Features,11,15,13,246
aterms,20,27,15,235
People,13,18,13,223
activityDiagram,35,66,17,400
abstractcim,25,40,17,382
UTPPredefined,12,10,13,223
Transformation,112,194,28,818
Sass,3,2,10,217
definitions,76,87,20,438
bonide,63,83,21,424
Izpack,97,112,23,597
BrokerDSL,6,6,12,223
GraphViewStyle,14,13,14,220
R2ML,367,594,62,2002
tp5,30,43,17,382
Message,22,25,15,388
topology,21,37,17,381
BuildDSL,13,16,14,229
ASL,53,67,18,432
modelica,394,467,76,1309
klayoutdata,25,28,17,376
conceptmodel,14,17,14,229
Firewalll,16,20,14,223
sequence-diagram-notation,3,2,12,217
planrouge,53,70,19,427
src,38,45,15,254
MyDsl,18,23,15,223
crosswalk,140,211,32,1000
org.eclipse.emf.cdo.server.db.defs,16,17,15,376
Agate,274,466,53,1715
BusinessProcessModel,44,87,16,394
featuremodel,40,57,18,406
mediator,558,656,85,3099
ProjectProofProcess,9,9,13,223
GUIdancerComponentHierarchy,15,25,14,375
concat,5,4,11,223
lwc11,8,10,14,373
SmallJava,62,103,21,577
resourcedesc,15,25,14,223
exportmodel,20,22,15,235
Xpect,33,51,18,534
objects,4,3,18,217
toolpalette,21,23,14,223
iaca,61,96,20,418
Contact,57,63,18,432
ScriptUIGraph,14,24,15,229
profiler,14,20,21,223
SACM,305,504,54,2050
AtsDsl,142,197,34,857
org.cylio.project.domain.editor,32,37,14,394
FiniteStateMachine,23,50,16,382
jpdl32,372,515,72,2180
SPEM,1,0,9,240
mlhim2,334,567,77,2902
Java-20040316,27,54,17,382
idc,224,392,43,1332
bz377606,9,9,12,217
Project,704,1141,109,4821
OCCAM,59,112,21,558
QVTCST,11,13,14,209
MSOfficeWord_WordprocessingMLBasicDef,171,296,37,1101
web_service,17,23,15,199
UML_UseCases,32,67,18,379
wscommon,13,13,13,209
Families,10,11,12,189
response,96,121,28,760
configurator,26,40,15,356
AIService,13,19,12,209
ReasoningResult,17,20,13,219
Function,53,87,20,399
plan,27,31,17,367
dummy,20,30,15,209
CssExtDsl,89,140,24,596
RequisitePro,25,51,15,367
doc,84,114,22,590
report,8,8,11,209
landuse,18,18,23,801
newcar,11,17,12,209
pylon,74,86,22,580
MonitorProgram,57,111,20,569
MediatorAdvice,7,7,12,210
Yucuk,6,6,12,209
tasks,40,47,19,536
VHDL,3,2,11,177
modellog,111,147,26,621
metadata,19,24,16,356
drools,32,38,17,378
loadcurve,15,16,14,209
bio_tgt,47,57,18,389
commonarchivecore,50,85,42,1721
UI,54,77,19,401
com.ibm.commerce.contract.facade.datatypes,41,54,184,7255
depgraph,52,82,20,417
MiningMart_ViewCaseRepresentation,1,0,10,351
ProofProcess-v1.0.0,47,71,19,409
OpenCL,34,55,17,387
People1,11,16,12,199
Gdbsl,5,5,11,198
OpServiceModel,26,33,15,212
Suite,10,12,13,197
taipan,64,108,20,577
mind,133,237,32,977
sco,34,46,18,413
Organization,62,74,25,715
States,23,22,16,365
hExample_3_RHS,4,3,12,197
iplog,60,70,19,578
threevaluedlogic,17,27,15,205
MModelURIMap,6,6,12,209
mongodb,53,79,20,416
Copy of library,21,33,16,379
PNML_structured,145,299,34,1001
templatecall,4,3,11,197
models2,463,666,76,2794
wfs,209,270,49,1632
org.eclipse.component,35,45,18,381
powrmart,1155,1493,191,6545
kaom,15,29,15,201
conceptmap,45,56,17,248
dtmc,65,92,21,419
DefaultName1,18,26,15,218
MSOfficeExcel_SpreadsheetMLStyles,449,627,71,2356
jtemplates,3,2,11,177
adapter,9,9,18,493
QVTcoreCST,8,9,13,186
OpenAir,147,209,30,799
TraceEditor,27,48,16,370
ExtendedPO2,44,62,19,402
sample,41,54,17,368
flowchart,58,100,21,555
Instances,11,11,13,187
Golang,8,8,12,187
pgadmin,15,16,13,198
rules_core,23,40,14,346
com.ibm.commerce.promotion.facade.datatypes,145,178,182,7495
Epk,62,119,20,465
Metrics,1,0,10,203
message-meta,40,40,15,256
frontend.imperative,21,29,13,229
collaviz,43,66,19,449
SQLQueryModel,410,952,81,2916
wcs100_gml,122,171,34,1072
flow_concept,22,38,15,250
FieldSelection,12,15,13,222
WebApplications_AbstractModel,1,0,9,198
Node,4,3,11,210
Dime,130,222,30,916
cp3model,21,40,15,246
rentalSansGmfAnnot,24,37,16,429
My,2,1,11,215
component.jca,54,75,27,814
Macro,34,43,16,263
library_eve,17,25,14,228
mulemodel,69,106,22,472
evilsystem,43,74,18,439
futsal,75,115,23,494
Adl,125,198,29,902
BibTeX1.1,34,66,16,425
ExampleInteractionModel,66,65,19,283
PetrinetDsl,31,30,16,417
inventory,54,100,21,472
DFA,23,36,15,253
NanoStructure,37,48,17,441
RDBMSMM,14,19,13,228
Hello,5,5,12,216
gamelogic,151,202,30,793
CssDsl,80,120,23,672
PragmaCPNDefinition,20,32,16,404
CDE,17,23,14,235
Epatch,51,75,20,456
play,56,69,22,465
InstanceModel,21,38,14,253
sbp-designer,19,30,15,240
BPM,13,18,14,223
smil20,87,95,32,1091
MovieDB,7,6,13,216
ClassModel,76,112,23,669
MIME,14,18,20,768
kernel,44,87,23,448
Tutorial,14,16,15,240
waterbody,52,62,26,987
Sequencemodel,61,99,21,472
JavaProject,31,49,16,419
uiextensionmodel,30,29,16,237
lqn,5,3,12,386
VorkursDomain,64,77,19,458
ServiceData,47,57,18,455
Simulator,67,102,21,472
radar,29,27,17,417
Values,17,37,14,243
annotationModelReference,3,2,10,210
krendering,122,183,29,903
rif11a,134,217,32,906
pl0extended,8,9,13,217
ModelFragment,10,11,12,217
RefiningTrace,31,42,15,419
GoModel,8,7,12,210
identification,16,25,14,228
Seal,95,165,26,686
business,83,147,23,669
ofbiz,140,294,35,1112
majordomo,93,182,26,700
banner,14,16,13,240
house,44,70,18,438
tracermodel,71,72,19,311
building,173,217,48,1867
tableur_visitable,16,25,14,223
J2SE5,240,464,48,1569
AjModel,46,88,20,453
gmfgraph_1.24,215,335,42,1379
GenericEditor,32,48,16,423
propsheet,7,7,25,398
graphdef,111,156,27,874
UDDI_meta-model_fragment,13,17,12,223
implementation,18,20,14,229
mule,450,585,86,2883
DGS,68,92,20,467
BDDModel,34,50,17,426
RDFS,98,155,25,695
PathExp,1,0,8,235
VisualDiagnostic,8,10,12,217
Trace,17,22,15,228
timing-diagram,78,155,26,679
MiningMart_SimplifiedMetamodel,23,44,15,413
SelfletBehavior,31,51,17,419
ImpModLang,27,45,16,260
MapDsl,14,17,14,239
CSharp,38,60,17,442
dpd,56,72,21,463
.skriven,191,196,33,616
dbprice,5,4,11,215
Mapper,47,57,27,790
tp6,80,98,22,475
GWPNV4,20,45,16,423
socnet,11,16,13,217
events,27,39,19,413
objectrepository,12,13,13,216
Dot,15,24,13,244
NetModel,88,138,23,667
result,6,7,12,215
ruleml,6,7,11,210
hExample_1_RHS,5,5,12,215
Bitbucketmgr,10,11,12,215
basic,5,4,11,210
FlowGraph,38,86,18,442
r4e.design.rules,30,34,17,240
codesyncjava,12,11,13,222
system,22,37,19,422
AUIML,1004,1773,154,5520
ToDoListDiag,28,39,15,393
openome_model,132,233,32,864
Make,23,34,15,393
uForthRT,15,18,13,212
flow_edge,13,23,13,231
Matlab,1,0,12,394
DecoraDsl,108,170,26,672
opa,49,66,20,410
sdbpmn,76,101,26,627
xls,54,91,20,440
CXF,83,91,23,625
spielfeld,35,49,16,410
accounting,37,60,17,407
Total,7,5,11,200
PetriNetModel,25,29,14,226
sqljava,18,18,14,229
ast,54,76,21,602
DSML,82,122,22,628
nuopc,105,150,29,828
Repository,1,0,9,198
daum,96,140,25,641
modifications,11,13,13,200
idl,70,127,25,774
Headline,3,2,12,200
Java,373,794,90,4916
OPF31,161,180,39,1230
appmodel,25,29,15,228
cbe,90,110,26,632
MiniScript,72,113,21,452
spm,43,58,24,571
S,34,52,16,446
map,24,39,18,554
acad,69,68,528,606
com.ibm.commerce.installment.facade.datatypes,140,187,190,6641
layout,10,12,13,236
CDPSM,412,626,81,2704
agents,28,27,16,462
sm_mm_1,46,84,19,483
bootstrap,46,74,18,495
SysML,152,168,31,795
BasicBlocks,15,19,13,249
MSVisio_DatadiagramMLTextFormat,300,594,60,2087
JavaTypes,4,3,11,236
com.ibm.commerce.catalog.facade.datatypes,712,956,288,10537
IFC2X3_TC1,3352,5223,577,24902
SmartHouse,82,124,25,667
org.eclipse.component.use,13,14,15,290
ExtendedTypes,22,27,15,284
confOf.owl,433,876,81,3523
CWMCore,37,76,17,547
CoreThemes,4,3,11,274
ecorebinding,41,82,19,546
library07,18,26,15,285
jsflibraryregistry,24,31,15,304
WSLink,11,9,54,285
metamodel@runtime,108,187,27,863
DependencyDsl,44,55,18,319
caz,29,42,18,573
abnf,47,72,19,546
launching,11,10,12,290
rascalmetric,12,15,13,285
ZEvesProofProcess,10,11,37,269
IsabelleProofProcess-v1.0.0.10,32,38,17,546
XPDL-1.14,1,0,11,475
com.ibm.commerce.giftcenter.facade.datatypes,129,158,187,5081
EQN,26,55,16,310
PRR,94,206,27,864
epo2,44,62,19,326
bf,11,23,14,298
jBPM5Extensions,24,27,16,292
IDLMM,98,146,24,615
ServerGeneratorLanguage,29,46,15,310
rezept,179,221,33,995
expressions,64,99,21,809
di1,60,70,24,580
IMSTransactionMessage,87,81,22,401
XMLType,20,21,17,527
annotations,22,32,14,292
gore,76,117,28,830
OCL,223,307,50,1564
warmok,54,74,19,562
etunit,33,39,18,332
ncx,127,171,30,901
predefinedobjects,168,167,34,954
cmd,142,152,26,652
builder,31,50,17,559
GraphViewMapping,23,38,25,310
magicDB,87,116,21,605
inheritancemapping,29,36,16,310
Cristal,18,33,15,316
crs_dr.owl,460,935,86,3872
math,6,5,13,276
Bnl,3,2,10,278
XMA_GUIDesigner,642,984,106,3795
Specio,74,96,83,592
opm,65,108,22,596
outputter,30,38,19,560
dbl,319,605,60,2498
pico,51,78,18,576
search,32,37,16,308
riehle97base,7,8,11,276
uForthProgram,14,19,13,294
esx,2142,2246,214,7410
tags,6,6,12,248
q4bpmn,29,33,15,288
embeddedid,7,7,11,257
KSecurityModel,21,27,15,258
metric,7,7,12,248
METAH,52,66,18,516
BooleanExpressions,26,37,16,302
Gherkin,39,59,17,488
qsar,91,108,26,778
Axdt,171,188,33,683
DependencyChain,36,49,17,293
ODP-IV,47,114,20,524
XTuring,23,29,15,275
reusejava,4,3,12,278
probekit,96,122,27,783
order,13,11,12,257
egis,13,17,13,248
evaluationresult,10,10,13,278
ros,78,96,25,577
StateDiagram,10,12,12,258
Statecharts,19,31,14,276
ConnectionErrors,26,25,17,480
Byteman,120,194,29,801
fxg,516,666,78,2515
util,10,11,11,257
Zapfmaster2000,121,177,30,801
cm,35,54,18,326
com.ibm.commerce.member.facade.datatypes,384,477,230,6627
services,30,37,16,323
conference,20,33,15,313
AML,343,445,68,2165
transportation,68,85,31,1105
attributes,9,11,12,289
NetDSL,140,139,29,894
ebXML,94,162,26,637
OpenModelicaAbstactSyntax,492,806,75,2778
wikigen,14,15,14,293
frontend.qool,76,124,23,618
telehash,32,33,487,323
signature_and_call,12,18,13,294
tdt4250,42,66,19,342
org_stageconfig,14,18,14,293
customsandwich,15,14,14,293
Guixdsl,9,11,12,284
scan,15,14,13,310
Base,4,3,12,284
UEMLExtensionCapturingSocialEffects,69,168,24,618
spray,83,137,24,627
types,4,3,9,284
SimulinkStateFlow,57,92,20,599
arduino,114,167,51,894
predicate,29,52,16,550
com.ibm.commerce.price.facade.datatypes,290,394,240,8156
Problems,13,13,12,272
Ldb,5,5,11,281
nbs,56,74,21,554
xml_pois_structure,6,5,11,276
infosystem,71,70,21,351
robmod,44,62,19,317
elementRegistry,17,20,14,281
java5,299,575,96,2154
SimpleJava,33,39,16,325
dataset,70,89,20,572
cloud,8,9,12,281
picmodel,21,27,15,281
javalogtrace,3,2,12,281
DesignPatterns,65,69,22,580
WTIP_SimpleRDBMS,12,16,13,299
aladim,43,70,18,350
evidence,8,8,14,509
Gantt,52,60,19,581
PDL1,18,24,14,298
utp,77,76,21,580
Junitresult,48,60,18,554
formsextension,4,3,10,281
mapping,37,48,17,554
QuickEditTabSections,9,10,12,272
sitacCtrl,22,32,20,570
PIM,17,20,14,281
externaldatasource,4,3,12,281
specification,53,91,20,549
phenomenon,4,3,10,272
application,152,192,43,1730
dp,23,42,15,325
ActivitiExtensions,93,106,27,854
jca,80,98,23,580
BoxMM,29,58,16,322
styles,18,23,13,281
DataType,1,0,67,272
remusassignments,9,9,12,281
xhtml,707,1047,135,4593
bpmn20_ttc,633,1146,146,4151
dtdsl,18,20,14,278
UseCaseInvariant,23,35,16,299
SigmaxApp,33,45,17,352
freemarker,3,2,12,281
oclstdlib,1,0,10,281
atl2java,55,95,20,589
customers,13,13,14,281
FXGraph,97,150,25,657
DTD,115,177,28,871
manifest,93,120,25,905
org.eclipse.gmf.codegen.jar_models.gmfgen,718,1080,120,4593
OpenQVT,55,97,19,589
persistence,34,34,41,1801
graphO,62,66,19,334
harmonica,25,32,14,307
uitf,46,56,18,316
emftools,11,11,14,281
efeature,7,6,14,281
EXPRESS,566,1164,103,3815
RSS,38,50,18,316
bpmn20exec,11,12,12,284
modelo,3,2,11,281
REAL,79,112,23,607
sd,19,32,15,303
TreeMapViewer,14,18,15,296
webapplication,158,240,39,1153
Grafcet,1,0,9,281
Config,24,29,15,307
chess,48,64,17,316
Xdoc,87,145,26,648
old_epn,142,259,36,1079
controlMinimal,9,10,13,281
mule-ide,19,22,13,323
QVTrelationCST,67,94,23,580
TypeSystem,151,150,30,889
Table,8,12,12,281
gpx,126,136,32,884
com.ibm.commerce.content.facade.datatypes,395,545,231,7064
EnumLiterals,7,6,12,449
ModulobTypes,13,18,13,356
gmfgraph_1.25,216,337,42,1395
QoS_Characteristic,27,40,16,339
com.ibm.commerce.order.facade.datatypes,464,583,232,6608
l2,63,62,22,649
DTMP,1,0,10,315
DiVA,123,219,29,976
