model,size,nodes,edges,time,mem
.skriven,47,22,28,0.434,8523
101companies,37,15,18,0.023,1538
abapobj,220,191,213,0.073,2922
ABase,23,13,17,0.012,512
ABC,18,4,5,0.045,662
abnf,85,47,72,0.015,1024
abstractcim,122,25,40,0.018,609
AbstractSyntaxStereotypesUML1.4,48,7,5,0.01,104
AbstractUI,9,70,68,0.019,408
acad,74,69,68,0.509,622
accesscontrol,61,45,70,0.013,616
accession,26,11,18,0.016,1024
account,27,10,10,0.011,461
accounting,79,37,60,0.013,614
ACG,179,150,264,0.021,1375
acl,108,15,16,0.012,1030
ACME,64,43,73,0.011,506
ACON,68,40,57,0.014,518
acore,64,31,45,0.014,0
action,70,10,10,0.009,0
actions,67,43,61,0.018,1024
activestatedebugger,39,23,30,0.01,0
ActivitiExtensions,728,93,106,0.025,-18839
activity,24,13,19,0.014,464
activityDiagram,58,35,66,0.014,305
actor,141,45,70,0.092,1026
ActorMapping,178,33,38,0.016,383
adapter,78,9,9,0.019,663
adaptiveSystem,137,61,102,0.02,420
AData,59,36,47,0.015,289
ada_gen,55,33,42,0.015,328
additionalTagMetadata,47,13,14,0.014,118
AddressBook,46,28,44,0.014,361
addressing,413,51,68,0.018,554
ADELFE,53,41,88,0.016,421
Adl,195,125,198,0.024,907
Ads,292,177,277,0.029,1191
After,25,14,22,0.013,90
Agate,336,274,466,0.046,1395
agents,21,10,10,0.013,362
aggregator_0.8.0,156,109,138,0.021,703
Agree,146,285,353,0.036,821
AIP,26,12,14,0.012,369
AIService,34,12,19,0.01,0
AjModel,224,46,88,0.015,370
aladim,68,43,70,0.015,563
Alf,536,304,486,0.034,1630
Altarica,316,175,308,0.025,810
Amble,60,1,0,0.044,38
AML,2579,343,445,0.037,-16862
AMN,291,155,286,0.024,917
analysis,35,11,12,0.01,108
android,83,47,78,0.013,352
Anfelisa,23,11,16,0.011,348
annotation,15,7,7,0.009,71
annotationModelReference,10,3,2,0.01,31
annotations,86,22,32,0.012,278
Ant,211,170,239,0.023,822
Antikythera,69,38,63,0.011,387
AntScripts,54,38,63,0.012,403
AnyLogic,139,114,148,0.016,847
APar,43,27,25,0.01,56
api2mol,74,45,61,0.012,380
apidesc,139,83,115,0.016,613
apimodel,129,70,100,0.013,717
AppChoco,44,21,25,0.01,60
AppDSL,26,14,23,0.008,193
ApplauseDsl,214,126,213,0.017,709
applet,603,91,118,0.015,715
application,302,152,192,0.025,1333
AppliedStereotypeProperty,14,6,6,0.009,320
appmodel,33,22,26,0.009,318
AppWeb,39,24,27,0.01,53
apromore,51,37,58,0.011,16
ArcadeTongame_editor,121,30,41,0.011,358
archi,100,47,82,0.015,355
archimate,359,165,306,0.022,1335
Architectural_Description,31,17,30,0.009,372
architecture,54,5,4,0.009,0
ArchitectureDSL,109,70,105,0.014,650
arduino,167,114,167,0.017,714
ares,53,31,35,0.012,0
Arithmetics,63,34,58,0.011,79
arm,63,36,61,0.011,355
article,162,80,146,0.015,669
ASL,74,294,307,0.026,-18374
ASM,147,1,0,0.007,60
AsmL,236,172,329,0.022,1080
ASMLogo,95,53,99,0.013,257
aspectbind,231,122,205,0.016,627
aspectj,182,85,138,0.014,799
aspectualacme,65,35,61,0.009,100
Assert,54,31,47,0.008,404
asset,1441,187,268,0.018,880
Assignments,27,14,18,0.007,16
associationoverride,92,12,14,0.008,94
ast,88,54,76,0.013,681
aterms,30,48,54,0.009,84
AthenaDSL,244,172,241,0.018,862
ATL-0.2,338,142,318,0.045,4107
ATL-Profiler,58,33,41,0.01,362
ATL,301,92,172,0.014,889
atl2java,85,47,88,0.013,322
ATLMLM,308,98,183,0.016,1022
atl_types,72,45,72,0.009,351
atm,108,103,102,0.281,598
ATOM,93,1,0,0.007,380
atomic,45,23,46,0.01,0
AtsDsl,215,142,197,0.016,805
attributes,19,9,11,0.009,38
auction,20,23,24,0.009,41
AUIML,2286,1002,1772,0.159,-13738
AutBE,21,11,12,0.009,54
autocgmodel,37,10,14,0.008,32
Automaton,25,14,20,0.01,351
Avm,154,37,70,0.011,351
AWKPrograms,50,1,0,0.005,329
Axdt,149,21,39,0.011,351
B,11,5,5,0.008,44
backbone,69,155,189,0.019,458
Balanced,1565,197,260,0.024,1222
banner,36,14,16,0.01,49
Base,10,4,3,0.01,353
BaseCST,318,144,274,0.023,846
BaseOutputMetamodel,17,10,14,0.008,44
BaseUI,23,15,22,0.009,49
basic,43,5,4,0.009,312
BasicBlocks,29,15,19,0.009,130
BatchDsl,41,25,30,0.009,255
BD,67,20,29,0.011,346
BDDModel,66,34,50,0.009,363
Before,69,97,127,0.013,430
bf,24,28,39,0.01,374
BibTeX,259,140,139,0.019,806
BibTeX1.1,54,34,66,0.011,294
BIBTEXML,2768,292,323,0.028,1786
bigpicture,34,16,23,0.01,375
binding,45,25,31,0.015,609
bindingdialect,43,18,34,0.013,35
bio_src,88,51,62,0.014,398
bio_tgt,81,47,57,0.017,375
BippoMall,56,10,10,0.013,-18841
Bitbucketmgr,19,10,11,0.013,34
BlockClassBase,25,12,17,0.018,321
blockDomain,53,33,63,0.016,370
bluexml,414,272,391,0.039,1316
BMM,112,80,155,0.044,566
bmmOmg,164,132,358,0.028,792
Bnl,8,3,2,0.01,323
bodymodel,88,57,102,0.015,387
BON,124,66,117,0.019,487
bonide,96,63,83,0.014,387
bonide_PandO,136,83,133,0.016,660
BONModel_EMF,136,83,133,0.017,415
Book,108,67,90,0.013,586
books,18,8,8,0.01,302
bookStore,58,32,49,0.011,72
bool,23,13,22,0.009,323
BooleanExpressions,45,26,37,0.009,314
bootstrap,87,46,74,0.012,342
Bossa,421,318,510,0.029,1831
bowling,37,21,28,0.01,356
box,81,55,76,0.01,187
BoxMM,53,29,58,0.011,385
bpeldiag,9,5,3,0.01,28
BPM,22,13,18,0.008,36
bpmn,458,107,195,0.017,759
bpmn20,950,491,872,0.041,3376
bpmn20di,261,34,46,0.011,327
bpmn20exec,18,11,12,0.008,62
bpmn20_ttc,1388,633,1146,0.056,-14108
bpmndi,66,35,42,0.014,1546
bpsim,1385,197,291,0.021,1118
BQL,37,23,34,0.01,366
BrnHandlers,1900,361,532,0.032,2110
BrokerDSL,14,260,259,0.023,627
Bugzilla,168,13,11,0.009,42
Build,48,13,12,0.008,331
BuildDSL,26,13,16,0.009,40
builder,117,31,50,0.01,355
building,1749,182,225,0.05,-5527
builtins,117,21,16,0.009,300
BundleProject,156,104,124,0.014,606
business,101,72,136,0.012,650
