model,nodes,edges,time,mem
.skriven,22,28,555,11233
101companies,15,18,23,547
abapobj,191,213,85,1248
ABase,13,17,13,465
ABC,4,5,56,320
abnf,47,72,13,592
abstractcim,25,40,17,565
AbstractSyntaxStereotypesUML1.4,7,5,12,452
AbstractUI,70,68,16,549
acad,69,68,535,831
accesscontrol,45,70,14,502
accession,11,18,16,942
account,10,10,14,456
accounting,37,60,14,546
ACG,150,264,19,1134
acl,15,16,13,592
ACME,43,73,12,553
ACON,40,57,12,507
acore,31,45,12,522
action,10,10,11,428
actions,43,61,16,890
activestatedebugger,23,30,10,428
ActivitiExtensions,93,106,18,833
activity,13,19,17,452
activityDiagram,35,66,13,464
actor,45,70,56,1241
ActorMapping,33,38,10,501
adapter,9,9,14,801
adaptiveSystem,61,102,12,623
AData,36,47,11,456
ada_gen,33,42,11,424
additionalTagMetadata,13,14,9,425
AddressBook,28,44,11,365
addressing,51,68,13,536
ADELFE,41,88,12,575
Adl,125,198,19,948
Ads,177,277,21,1291
After,14,22,10,465
Agate,274,466,28,1843
agents,10,10,22,578
aggregator_0.8.0,109,138,16,848
Agree,285,353,25,1180
AIP,12,14,9,472
AIService,12,19,9,421
AjModel,46,88,11,575
aladim,43,70,10,546
Alf,304,486,27,1938
Altarica,175,308,19,1270
Amble,1,0,86,416
AML,343,445,35,2167
AMN,155,286,23,1114
analysis,11,12,9,384
android,47,78,10,506
Anfelisa,11,16,7,428
annotation,7,7,8,232
annotationModelReference,3,2,8,264
annotations,22,32,10,472
Ant,170,239,18,1214
Antikythera,38,63,10,580
AntScripts,38,63,9,558
AnyLogic,114,148,14,828
APar,27,25,104,467
api2mol,45,61,12,504
apidesc,83,115,45,711
apimodel,70,100,14,691
AppChoco,21,25,11,399
AppDSL,14,23,10,387
ApplauseDsl,126,213,30,948
applet,91,118,13,862
application,152,192,19,1709
AppliedStereotypeProperty,6,6,41,421
appmodel,22,26,8,452
AppWeb,24,27,11,443
apromore,37,58,13,530
ArcadeTongame_editor,30,41,11,472
archi,47,82,11,610
archimate,165,306,18,1444
Architectural_Description,17,30,11,438
architecture,5,4,8,288
ArchitectureDSL,70,105,13,663
arduino,114,167,12,850
ares,31,35,11,428
Arithmetics,34,58,10,438
arm,36,61,13,566
article,80,146,14,804
ASL,294,307,21,972
ASM,1,0,7,528
AsmL,172,329,18,1402
ASMLogo,53,99,10,609
aspectbind,122,205,13,971
aspectj,85,138,13,826
aspectualacme,35,61,8,501
Assert,31,47,11,437
asset,187,268,16,1386
Assignments,14,18,9,395
associationoverride,12,14,10,389
ast,54,76,12,632
aterms,48,54,11,377
AthenaDSL,172,241,17,1085
ATL-0.2,142,318,46,4157
ATL-Profiler,33,41,10,457
ATL,92,172,13,1020
atl2java,47,88,10,558
ATLMLM,98,183,13,1135
atl_types,45,72,10,551
atm,103,102,493,947
ATOM,1,0,9,472
atomic,23,46,13,472
AtsDsl,142,197,16,987
attributes,9,11,10,329
auction,23,24,9,395
AUIML,1002,1772,98,5523
AutBE,11,12,9,259
autocgmodel,10,14,10,388
Automaton,14,20,9,428
Avm,37,70,11,506
AWKPrograms,1,0,7,418
Axdt,21,39,11,536
B,5,5,7,293
backbone,155,189,19,676
Balanced,197,260,23,1395
banner,14,16,11,412
Base,4,3,10,345
BaseCST,144,274,20,1210
BaseOutputMetamodel,10,14,11,311
BaseUI,15,22,9,402
basic,5,4,8,268
BasicBlocks,15,19,13,354
BatchDsl,25,30,10,406
BD,20,29,10,388
BDDModel,34,50,14,399
Before,97,127,15,640
bf,28,39,8,418
BibTeX,140,139,11,1005
BibTeX1.1,34,66,11,528
BIBTEXML,292,323,24,2116
bigpicture,16,23,9,433
binding,25,31,13,764
bindingdialect,18,34,9,433
bio_src,51,62,11,617
bio_tgt,47,57,12,583
BippoMall,10,10,12,310
Bitbucketmgr,10,11,9,230
BlockClassBase,12,17,11,643
blockDomain,33,63,10,485
bluexml,272,391,26,1583
BMM,80,155,20,713
bmmOmg,132,358,20,1210
Bnl,3,2,10,271
bodymodel,57,102,15,565
BON,66,117,14,549
bonide,63,83,10,618
bonide_PandO,83,133,14,793
BONModel_EMF,83,133,16,735
Book,67,90,12,726
books,8,8,8,462
bookStore,32,49,13,428
bool,13,22,11,427
BooleanExpressions,26,37,11,385
bootstrap,46,74,11,519
Bossa,318,510,26,2037
bowling,21,28,14,388
box,55,76,10,575
BoxMM,29,58,12,459
bpeldiag,5,3,11,233
BPM,13,18,9,381
bpmn,107,195,14,904
bpmn20,491,872,29,3391
bpmn20di,34,46,9,433
bpmn20exec,11,12,11,442
bpmn20_ttc,633,1146,37,4165
bpmndi,35,42,15,1693
bpsim,197,291,15,1428
BQL,23,34,10,427
BrnHandlers,361,532,25,2267
BrokerDSL,260,259,19,748
Bugzilla,13,11,8,368
Build,13,12,9,351
BuildDSL,13,16,8,428
builder,31,50,12,506
building,182,225,54,4637
builtins,21,16,7,359
BundleProject,104,124,16,909
business,72,136,12,770
BusinessDomainDsl,91,149,14,830
BusinessEntityModel,19,36,9,452
BusinessObjectDsl,22,31,10,388
BusinessProcessModel,44,87,12,559
Byteman,126,199,13,951
bz377606,9,9,8,317
C,11,18,8,268
cache_model,19,19,13,396
CADM,106,210,13,1024
Cal,210,354,17,1298
calc,51,82,13,533
Calendar,31,42,8,457
caltrop,68,97,36,1165
camel-spring,1584,2633,107,5090
canopen,958,1314,50,5893
canvas,14,20,7,340
CaPtah,32,51,8,406
capua,40,78,12,545
car,13,21,7,273
CardTemplate,11,13,9,273
carnot,499,928,56,3803
carrental,22,24,12,323
Cars,22,26,7,314
cartesianCoordinateSystem,27,41,9,333
cascadenotall,17,23,8,315
catalog,26,31,8,325
caz,28,41,12,501
cbe,90,110,13,684
CD,38,61,11,367
CDE,15,22,8,287
cdfg,80,136,16,603
CDPSM,415,628,29,2712
CellCore,13,21,8,347
CellEvol,3,2,38,303
CellInit,3,2,7,396
CEPMeta,23,28,12,529
cf,45,127,14,1076
CFG,15,28,9,360
cgmodel,162,307,15,1374
CharacterScript,65,84,12,505
checklist,25,25,9,376
chess,48,64,11,396
ChocoModel,52,81,9,542
ChooseEditor,72,172,13,634
cim,1167,1454,51,5921
CIM14,3290,5293,200,10213
CIM15,4371,7722,257,23441
CIMLevelZero,1167,1454,46,6317
cinematic,76,130,14,841
city1,15,18,9,391
city2,13,16,7,340
cityfurniture,24,24,37,4552
citygml,62,74,44,4810
cityobjectgroup,39,41,37,4644
CL,90,118,14,1377
claim,19,25,9,523
Class,1,0,33,371
ClassDiagram,42,63,9,524
classDomain,41,71,9,648
ClassicModels,77,120,9,709
classification,16,18,12,319
ClassMM,19,27,8,272
ClassModel,76,112,10,536
class_diagramm,49,72,9,635
class_diagramm_simple,17,16,8,427
class_diagramm_tgg_rule,22,21,8,406
