folder,metric,best_model,consistency,linear_r2,exponential_r2,poly2_r2,poly3_r2,poly4_r2,poly5_r2,worst_file,worst_model
CreateContainmentDepth,time,linear,0.9,0.9959129011873868,-1.806251460607842,0.9996003045664646,0.9999427886865127,0.9999782356842755,0.9999938650624497,CreateContainmentDepth_run_10.csv,exponential
CreateContainmentDepth,mem,poly2,0.6,0.9556772420845747,-2.2521853866823247,0.9930008414490376,0.9999423708479649,0.9999978462492347,0.9999982189070622,CreateContainmentDepth_run_7.csv,exponential
CreateContainmentWidth,time,linear,0.9666666666666667,0.9989867525618035,-1.9938505880040784,0.9998199072043689,0.9999386458919103,0.9999564683857861,0.9999619700460615,CreateContainmentWidth_run_28.csv,exponential
CreateContainmentWidth,mem,poly3,0.7666666666666667,0.9278033622819273,-1.1931405165420093,0.9775317895801638,0.9998621182333363,0.9999944339889107,0.9999952380291778,CreateContainmentWidth_run_14.csv,exponential
CreateCrossRef,time,linear,0.9333333333333333,0.9964831836937181,-1.8513433445856882,0.9985877712808525,0.999643373853058,0.999825799467462,0.9998664195126467,CreateCrossRef_run_10.csv,exponential
CreateCrossRef,mem,poly3,0.9666666666666667,0.8830450679587394,-0.32038789543899393,0.9751482040835416,0.9997804976475378,0.9999860204772534,0.9999941987060748,CreateCrossRef_run_13.csv,exponential
CreateSingle,time,linear,0.9666666666666667,0.9968421804616672,-2.1721205938623993,0.9998824073422832,0.9999930880829264,0.9999968828929303,0.9999976766988719,CreateSingle_run_28.csv,exponential
CreateSingle,mem,poly2,0.5333333333333333,0.8579666941007212,-1.1745276456727383,0.9795445194966016,0.9998211731634471,0.9999825124138193,0.9999863711907498,CreateSingle_run_19.csv,exponential
DeleteContainmentDepth,time,poly5,0.9666666666666667,0.07667746307171139,-0.12739182292714785,0.3124946660914525,0.5482913204477206,0.6668386643981866,0.9550811813639489,DeleteContainmentDepth_run_26.csv,exponential
DeleteContainmentDepth,mem,poly5,0.9,0.0582297485888205,-0.0026612412948186096,0.25878787493150895,0.5134459856442812,0.6728386581543667,0.9656894379986735,DeleteContainmentDepth_run_26.csv,exponential
DeleteContainmentWidth,time,linear,0.9666666666666667,0.9986089553461229,-1.4408135881011608,0.9996637825397446,0.999767447680487,0.9998396180808238,0.99992171383707,DeleteContainmentWidth_run_3.csv,exponential
DeleteContainmentWidth,mem,poly3,0.9666666666666667,0.8237555022559914,-0.9093888314974349,0.9759075838925472,0.9998242313156466,0.9999844707036392,0.9999966976704918,DeleteContainmentWidth_run_16.csv,exponential
DeleteCrossRef,time,poly2,1.0,0.9515466574090292,-5.4896566306107335,0.9999622209612442,0.9999935754295611,0.9999950638050386,0.9999954564713338,DeleteCrossRef_run_1.csv,exponential
DeleteCrossRef,mem,linear,1.0,0.9993432556258502,0.8003867130159137,0.9994129495046751,0.9998691234265376,0.9999131657657949,0.9999767746728232,DeleteCrossRef_run_1.csv,exponential
DeleteSingle,time,linear,0.8666666666666667,0.9980438706471421,-1.882681449400404,0.9992755064583132,0.9996126125011949,0.9997667704161948,0.9998162745286281,DeleteSingle_run_27.csv,exponential
DeleteSingle,mem,poly3,0.7666666666666667,0.8574459046472651,-0.9415389889952944,0.9633106822708525,0.9996808965497712,0.9999744992040671,0.9999892469280933,DeleteSingle_run_13.csv,exponential
ReadContainmentDepth,time,linear,0.6333333333333333,0.994598830227939,-1.9996488161235353,0.9984054260608323,0.998573634825162,0.9987042137883945,0.9988005799207826,ReadContainmentDepth_run_27.csv,exponential
ReadContainmentDepth,mem,poly3,0.6333333333333333,0.9788629679228774,-1.063895994439198,0.9947117027322123,0.9998110501693478,0.9999828182559454,0.9999913230605888,ReadContainmentDepth_run_6.csv,exponential
ReadContainmentWidth,time,poly2,0.6,0.9940111862727444,-2.023964212309002,0.999171299494981,0.999458852840421,0.9995224648362627,0.9995472177134416,ReadContainmentWidth_run_15.csv,exponential
ReadContainmentWidth,mem,poly3,0.5,0.9844210789431743,-1.0885943679435288,0.9949959843802298,0.9997548140394517,0.9999863655105513,0.9999940120954528,ReadContainmentWidth_run_21.csv,exponential
ReadCrossRef,time,poly5,1.0,0.041651422371861674,0.034378813813875905,0.0647210924622725,0.11035312533106538,0.1485791468684817,0.22787342603251823,ReadCrossRef_run_15.csv,exponential
ReadCrossRef,mem,poly5,0.7,-inf,-inf,-inf,-inf,-inf,-inf,ReadCrossRef_run_13.csv,linear
ReadSingle,time,poly5,1.0,0.03955612675085175,-0.059510996224648616,0.059916384994468476,0.08572077449974189,0.10831474604494637,0.15719673761800929,ReadSingle_run_17.csv,exponential
ReadSingle,mem,linear,0.7333333333333333,-inf,-inf,-inf,-inf,-inf,-inf,ReadSingle_run_10.csv,linear
Update,time,poly4,0.9,0.8623739575177631,-0.10319177506930446,0.890536552294995,0.9438388269779437,0.9675142020709379,0.9698949145596604,Update_run_19.csv,exponential
Update,mem,poly3,1.0,0.9854923837028002,0.2547107436041293,0.9900256634057985,0.9978085202521206,0.9995150071505539,0.9998558834020138,Update_run_9.csv,exponential
