model,nodes,edges,time,mem
.skriven,22,28,23,289
101companies,15,18,7,259
abapobj,191,213,21,1085
ABase,13,17,8,249
ABC,4,5,21,249
abnf,47,72,8,501
abstractcim,25,40,7,471
AbstractSyntaxStereotypesUML1.4,7,5,7,270
AbstractUI,70,68,10,530
acad,69,68,639,540
accesscontrol,45,70,7,318
accession,11,18,7,654
account,10,10,6,249
accounting,37,60,7,491
ACG,150,264,24,1044
acl,15,16,7,259
ACME,43,73,8,499
ACON,40,57,9,501
acore,31,45,7,277
action,10,10,6,249
actions,43,61,9,906
activestatedebugger,23,30,8,259
ActivitiExtensions,93,106,10,808
activity,13,19,7,270
activityDiagram,35,66,8,496
actor,45,70,82,906
ActorMapping,33,38,8,288
adapter,9,9,8,655
adaptiveSystem,61,102,9,526
AData,36,47,8,287
ada_gen,33,42,8,284
additionalTagMetadata,13,14,13,249
AddressBook,28,44,8,277
addressing,51,68,9,511
ADELFE,41,88,8,509
Adl,125,198,10,811
Ads,177,277,15,1097
After,14,22,7,249
Agate,274,466,19,1649
agents,10,10,7,453
aggregator_0.8.0,109,138,13,772
Agree,285,353,15,1110
AIP,12,14,9,267
AIService,12,19,8,247
AjModel,46,88,10,508
aladim,43,70,7,531
Alf,304,486,20,1863
Altarica,175,308,14,1317
Amble,1,0,23,239
AML,343,445,22,2119
AMN,155,286,12,1087
analysis,11,12,6,249
android,47,78,9,498
Anfelisa,11,16,6,270
annotation,7,7,8,249
annotationModelReference,3,2,7,239
annotations,22,32,7,264
Ant,170,239,13,1083
Antikythera,38,63,8,499
AntScripts,38,63,7,499
AnyLogic,114,148,11,792
APar,27,25,17,270
api2mol,45,61,7,498
apidesc,83,115,9,549
apimodel,70,100,9,543
AppChoco,21,25,7,281
AppDSL,14,23,6,267
ApplauseDsl,126,213,18,811
applet,91,118,11,765
application,152,192,14,1663
AppliedStereotypeProperty,6,6,23,250
appmodel,22,26,7,260
AppWeb,24,27,9,265
apromore,37,58,7,488
ArcadeTongame_editor,30,41,8,288
archi,47,82,7,499
archimate,165,306,13,1376
Architectural_Description,17,30,6,260
architecture,5,4,7,259
ArchitectureDSL,70,105,13,539
arduino,114,167,11,803
ares,31,35,8,287
Arithmetics,34,58,9,299
arm,36,61,7,491
article,80,146,9,801
ASL,294,307,28,974
ASM,1,0,5,442
AsmL,172,329,15,1317
ASMLogo,53,99,8,505
aspectbind,122,205,13,799
aspectj,85,138,12,757
aspectualacme,35,61,9,488
Assert,31,47,8,277
asset,187,268,15,1388
Assignments,14,18,7,266
associationoverride,12,14,7,249
ast,54,76,8,516
aterms,48,54,10,297
AthenaDSL,172,241,13,1075
ATL-0.2,142,318,17,4130
ATL-Profiler,33,41,14,295
ATL,92,172,11,985
atl2java,47,88,9,508
ATLMLM,98,183,11,1063
atl_types,45,72,8,496
atm,103,102,672,774
ATOM,1,0,8,239
atomic,23,46,7,274
AtsDsl,142,197,12,887
attributes,9,11,6,250
auction,23,24,8,267
AUIML,1002,1772,60,5580
AutBE,11,12,7,250
autocgmodel,10,14,7,249
Automaton,14,20,7,250
Avm,37,70,8,481
AWKPrograms,1,0,3,259
Axdt,21,39,8,470
B,5,5,5,249
backbone,155,189,11,633
Balanced,197,260,15,1300
banner,14,16,7,264
Base,4,3,6,249
BaseCST,144,274,13,1047
BaseOutputMetamodel,10,14,7,250
BaseUI,15,22,7,267
basic,5,4,8,249
BasicBlocks,15,19,7,266
BatchDsl,25,30,9,270
BD,20,29,6,289
BDDModel,34,50,8,287
Before,97,127,11,571
bf,28,39,7,287
BibTeX,140,139,12,810
BibTeX1.1,34,66,7,491
BIBTEXML,292,323,18,2043
bigpicture,16,23,7,257
binding,25,31,8,672
bindingdialect,18,34,7,277
bio_src,51,62,9,513
bio_tgt,47,57,10,512
BippoMall,10,10,7,249
Bitbucketmgr,10,11,6,270
BlockClassBase,12,17,7,453
blockDomain,33,63,9,520
bluexml,272,391,17,1473
BMM,80,155,8,753
bmmOmg,132,358,13,1067
Bnl,3,2,6,239
bodymodel,57,102,8,526
BON,66,117,10,573
bonide,63,83,8,526
bonide_PandO,83,133,8,547
BONModel_EMF,83,133,9,551
Book,67,90,9,522
books,8,8,6,247
bookStore,32,49,7,287
bool,13,22,6,269
BooleanExpressions,26,37,7,288
bootstrap,46,74,8,539
Bossa,318,510,19,1913
bowling,21,28,7,267
box,55,76,9,511
BoxMM,29,58,7,277
bpeldiag,5,3,7,249
BPM,13,18,9,267
bpmn,107,195,11,791
bpmn20,491,872,29,3305
bpmn20di,34,46,9,488
bpmn20exec,11,12,9,244
bpmn20_ttc,633,1146,35,4098
bpmndi,35,42,10,1728
bpsim,197,291,16,1358
BQL,23,34,8,277
BrnHandlers,361,532,23,2192
BrokerDSL,260,259,39,747
Bugzilla,13,11,7,267
Build,13,12,6,249
BuildDSL,13,16,7,269
builder,31,50,8,491
building,182,225,42,11400
builtins,21,16,7,279
BundleProject,104,124,13,842
business,72,136,9,584
BusinessDomainDsl,91,149,11,608
BusinessEntityModel,19,36,8,268
BusinessObjectDsl,22,31,7,276
BusinessProcessModel,44,87,9,511
Byteman,126,199,11,812
bz377606,9,9,6,251
C,11,18,9,263
cache_model,19,19,8,270
CADM,106,210,11,820
Cal,210,354,16,1366
calc,51,82,8,512
Calendar,31,42,11,285
caltrop,68,97,92,1096
camel-spring,1584,2633,79,10757
canopen,958,1314,47,5851
canvas,14,20,6,253
CaPtah,32,51,12,283
capua,40,78,9,503
car,13,21,6,253
CardTemplate,11,13,8,250
carnot,499,928,33,3773
carrental,22,24,8,274
Cars,22,26,7,265
cartesianCoordinateSystem,27,41,8,296
cascadenotall,17,23,7,253
catalog,26,31,7,273
caz,28,41,8,503
cbe,90,110,10,746
CD,38,61,8,497
CDE,15,22,6,252
cdfg,80,136,10,544
CDPSM,415,628,24,2706
CellCore,13,21,7,251
CellEvol,3,2,22,238
CellInit,3,2,5,240
CEPMeta,23,28,10,470
cf,45,127,13,1070
CFG,15,28,9,253
cgmodel,162,307,16,1456
CharacterScript,65,84,9,506
checklist,25,25,8,265
chess,48,64,8,296
ChocoModel,52,81,8,510
ChooseEditor,72,172,9,751
cim,1167,1454,42,6072
CIM14,3290,5293,162,10193
CIM15,4371,7722,288,18795
CIMLevelZero,1167,1454,42,5942
cinematic,76,130,9,679
city1,15,18,7,228
city2,13,16,7,226
cityfurniture,24,24,29,4566
citygml,62,74,34,4832
cityobjectgroup,39,41,30,3708
CL,90,118,11,1380
claim,19,25,7,409
Class,1,0,20,234
ClassDiagram,42,63,9,460
classDomain,41,71,10,627
ClassicModels,77,120,9,687
classification,16,18,7,252
ClassMM,19,27,8,234
ClassModel,76,112,9,688
class_diagramm,49,72,8,461
class_diagramm_simple,17,16,6,249
class_diagramm_tgg_rule,22,21,16,406
client,84,91,10,480
Clientes,26,30,9,232
closures,8,8,7,235
cloud,8,9,7,234
CloudML,63,102,10,496
cm,54,72,8,460
cmd,24,35,7,427
cmengine,106,195,12,880
CML,1,0,5,409
cmsl,149,183,12,739
cmt.owl,88,204,11,689
Coaster,28,30,8,234
COBOL,64,86,12,462
Cocus.owl,164,345,23,1309
codeAssistStruts,58,74,9,460
