model,LOC,classes,attributes,refs,containments,maxDIT,maxHagg
.skriven,47,6,8,2,0,3,1
101companies,37,3,7,0,4,1,3
aadl2,3294,226,72,128,235,8,6
abapmapping,113,13,12,6,2,4,3
abapobj,220,13,47,7,13,2,3
ABase,23,5,4,0,0,2,1
ABC,18,3,0,0,0,3,1
abnf,85,22,11,1,12,3,6
abstractcim,122,10,6,7,1,4,2
abstractsyntax,65,17,6,9,5,3,3
AbstractSyntaxStereotypesUML1.4,48,9,5,13,3,2,2
AbstractTypes,372,64,48,0,75,2,2
AbstractUI,9,1,3,0,0,2,1
acad,74,68,0,0,0,2,1
AcceleoTraceability,87,9,6,9,7,2,3
AcceleoWizardModel,106,8,39,1,3,2,3
accesscontrol,61,12,4,10,6,2,3
accession,26,4,1,5,0,8,1
account,27,3,2,0,4,2,2
accounting,79,9,11,6,6,2,5
acctrace,31,4,6,3,3,1,2
ACG,179,72,20,3,37,5,2
acl,108,3,7,0,4,1,3
ACME,64,16,13,3,10,3,5
ACON,68,12,13,7,7,3,3
acore,64,8,7,5,5,2,3
action,70,2,4,0,3,1,2
actions,67,19,6,13,4,3,2
activestatedebugger,39,7,6,0,1,3,2
ActivitiExtensions,728,11,55,0,10,2,3
activity,24,7,1,4,0,3,1
activityDiagram,58,12,3,17,2,3,3
actor,141,21,5,3,10,8,3
actordiagram,40,9,6,5,0,2,1
ActorMapping,178,8,8,0,9,1,5
adapter,78,2,1,0,5,1,3
adaptiveSystem,137,12,18,14,6,2,3
AData,59,6,9,5,5,1,4
ada_gen,55,11,12,7,2,2,2
additionalTagMetadata,47,2,4,0,1,1,2
AddressBook,46,5,8,6,4,1,3
addressing,413,9,19,0,20,1,3
ADELFE,53,19,0,15,6,2,2
Adl,195,48,27,7,27,5,6
Ads,292,71,45,4,53,4,10
After,25,9,0,1,3,2,3
Agate,336,69,81,97,26,9,3
agents,21,2,4,2,1,1,2
aggregator_0.8.0,156,14,41,7,14,2,3
aggregator_0.9.0,659,80,91,50,32,4,6
aggregator_1.0.0,669,80,93,49,32,4,6
Agree,146,39,9,3,40,3,4
AIP,26,3,5,1,2,1,2
AIService,34,11,0,0,0,4,1
AjModel,224,11,8,14,8,3,2
aladim,68,21,7,6,8,3,3
Alf,536,102,39,0,127,4,15
Altarica,316,72,12,8,75,4,5
Amble,60,14,7,9,10,2,4
AML,2579,39,141,0,124,1,9
AMN,291,55,13,82,0,3,1
analysis,35,5,5,0,0,2,1
android,83,16,19,9,2,3,2
Anfelisa,23,6,2,0,2,3,2
annotation,15,2,3,0,1,1,2
annotationModelReference,10,1,1,0,0,1,1
annotations,86,11,7,1,2,5,2
Ant,211,48,93,4,24,4,5
Antikythera,69,18,10,6,3,2,3
