model,nodes,edges,time,mem
.skriven,22,28,10,262
101companies,15,18,5,261
abapobj,191,213,17,1072
ABase,13,17,6,250
ABC,4,5,23,237
abnf,47,72,17,507
abstractcim,25,40,6,482
AbstractSyntaxStereotypesUML1.4,7,5,14,250
AbstractUI,70,68,9,522
acad,69,68,616,713
accesscontrol,45,70,9,508
accession,11,18,8,657
account,10,10,7,252
accounting,37,60,8,492
ACG,150,264,22,1048
acl,15,16,19,250
ACME,43,73,10,506
ACON,40,57,10,489
acore,31,45,8,278
action,10,10,10,250
actions,43,61,12,916
activestatedebugger,23,30,10,276
ActivitiExtensions,93,106,9,754
activity,13,19,11,264
activityDiagram,35,66,10,494
actor,45,70,86,905
ActorMapping,33,38,7,276
adapter,9,9,9,660
adaptiveSystem,61,102,11,531
AData,36,47,9,278
ada_gen,33,42,8,277
additionalTagMetadata,13,14,9,264
AddressBook,28,44,9,274
addressing,51,68,9,505
ADELFE,41,88,10,507
Adl,125,198,15,792
Ads,177,277,15,1096
After,14,22,7,264
Agate,274,466,20,1846
agents,10,10,8,455
aggregator_0.8.0,109,138,21,785
Agree,285,353,18,1037
AIP,12,14,9,250
AIService,12,19,9,264
AjModel,46,88,8,506
aladim,43,70,9,534
Alf,304,486,21,1863
Altarica,175,308,15,1315
Amble,1,0,21,235
AML,343,445,23,2112
AMN,155,286,17,1054
analysis,11,12,10,264
android,47,78,11,519
Anfelisa,11,16,8,264
annotation,7,7,8,250
annotationModelReference,3,2,9,237
annotations,22,32,7,277
Ant,170,239,14,1063
Antikythera,38,63,7,492
AntScripts,38,63,9,521
AnyLogic,114,148,12,797
APar,27,25,9,285
api2mol,45,61,9,312
apidesc,83,115,12,548
apimodel,70,100,11,528
AppChoco,21,25,13,275
AppDSL,14,23,8,264
ApplauseDsl,126,213,12,819
applet,91,118,13,759
application,152,192,14,1658
AppliedStereotypeProperty,6,6,21,250
appmodel,22,26,8,264
AppWeb,24,27,8,277
apromore,37,58,7,491
ArcadeTongame_editor,30,41,9,276
archi,47,82,9,508
archimate,165,306,15,1380
Architectural_Description,17,30,8,264
architecture,5,4,7,238
ArchitectureDSL,70,105,11,534
arduino,114,167,10,783
ares,31,35,9,276
Arithmetics,34,58,6,288
arm,36,61,18,494
article,80,146,10,760
ASL,294,307,22,971
ASM,1,0,6,442
AsmL,172,329,14,1315
ASMLogo,53,99,9,518
aspectbind,122,205,12,803
aspectj,85,138,11,761
aspectualacme,35,61,7,494
Assert,31,47,9,277
asset,187,268,15,1303
Assignments,14,18,6,250
associationoverride,12,14,8,264
ast,54,76,10,516
aterms,48,54,8,290
AthenaDSL,172,241,13,1066
ATL-0.2,142,318,19,3972
ATL-Profiler,33,41,9,288
ATL,92,172,12,983
atl2java,47,88,9,518
ATLMLM,98,183,13,983
atl_types,45,72,8,492
atm,103,102,628,764
ATOM,1,0,7,237
atomic,23,46,9,264
AtsDsl,142,197,13,836
attributes,9,11,8,264
auction,23,24,6,276
AUIML,1002,1772,67,5573
AutBE,11,12,6,261
autocgmodel,10,14,8,262
Automaton,14,20,7,265
Avm,37,70,9,480
AWKPrograms,1,0,7,238
Axdt,21,39,9,480
B,5,5,6,238
backbone,155,189,13,656
Balanced,197,260,13,1297
banner,14,16,9,247
Base,4,3,6,238
BaseCST,144,274,13,1054
BaseOutputMetamodel,10,14,6,264
BaseUI,15,22,7,264
basic,5,4,5,238
BasicBlocks,15,19,6,264
BatchDsl,25,30,9,276
BD,20,29,8,274
BDDModel,34,50,9,278
Before,97,127,12,555
bf,28,39,7,279
BibTeX,140,139,13,809
BibTeX1.1,34,66,10,494
BIBTEXML,292,323,18,2024
bigpicture,16,23,5,264
binding,25,31,8,683
bindingdialect,18,34,9,264
bio_src,51,62,8,508
bio_tgt,47,57,9,504
BippoMall,10,10,8,252
Bitbucketmgr,10,11,6,251
BlockClassBase,12,17,8,468
blockDomain,33,63,8,477
bluexml,272,391,15,1631
BMM,80,155,10,760
bmmOmg,132,358,16,1119
Bnl,3,2,10,257
bodymodel,57,102,11,508
BON,66,117,11,531
bonide,63,83,9,522
bonide_PandO,83,133,11,557
BONModel_EMF,83,133,11,546
Book,67,90,9,531
books,8,8,7,252
bookStore,32,49,10,277
bool,13,22,8,264
BooleanExpressions,26,37,9,276
bootstrap,46,74,9,509
Bossa,318,510,23,2037
bowling,21,28,7,261
box,55,76,11,519
BoxMM,29,58,11,278
bpeldiag,5,3,6,238
BPM,13,18,8,264
bpmn,107,195,11,799
bpmn20,491,872,31,3299
bpmn20di,34,46,8,492
bpmn20exec,11,12,8,262
bpmn20_ttc,633,1146,35,4096
bpmndi,35,42,10,1712
bpsim,197,291,23,1353
BQL,23,34,10,279
BrnHandlers,361,532,22,2191
BrokerDSL,260,259,16,740
Bugzilla,13,11,6,248
Build,13,12,8,262
BuildDSL,13,16,9,270
builder,31,50,11,482
building,182,225,37,11524
builtins,21,16,7,265
BundleProject,104,124,12,796
business,72,136,9,541
BusinessDomainDsl,91,149,10,788
BusinessEntityModel,19,36,9,272
BusinessObjectDsl,22,31,10,264
BusinessProcessModel,44,87,11,554
Byteman,126,199,13,824
bz377606,9,9,6,255
C,11,18,6,256
cache_model,19,19,6,286
CADM,106,210,12,812
Cal,210,354,19,1377
calc,51,82,8,521
Calendar,31,42,8,307
caltrop,68,97,83,1083
camel-spring,1584,2633,79,10750
canopen,958,1314,47,5851
canvas,14,20,8,249
CaPtah,32,51,9,290
capua,40,78,10,488
car,13,21,10,249
CardTemplate,11,13,7,249
carnot,499,928,32,3776
carrental,22,24,9,271
Cars,22,26,8,259
cartesianCoordinateSystem,27,41,8,281
cascadenotall,17,23,7,256
catalog,26,31,10,268
caz,28,41,10,469
cbe,90,110,11,756
CD,38,61,9,500
CDE,15,22,10,249
cdfg,80,136,12,529
CDPSM,415,628,25,2710
CellCore,13,21,9,249
CellEvol,3,2,23,246
CellInit,3,2,5,249
CEPMeta,23,28,9,512
cf,45,127,11,1073
CFG,15,28,7,249
cgmodel,162,307,18,1250
CharacterScript,65,84,9,512
checklist,25,25,6,266
chess,48,64,10,500
ChocoModel,52,81,8,509
ChooseEditor,72,172,9,553
