model,ext,nodes,edges,time,mem
result0_10,xmi,49,46,366,42437
result0_100,xmi,174,177,48,18127
result0_1000,xmi,997,989,138,31078
result0_10000,xmi,10007,10306,699,40962
result0_100000,xmi,99151,99150,5795,290818
result0_1000000,xmi,1082043,1141097,82838,495361
result0_50,xmi,108,99,229,9565
result0_500,xmi,583,585,95,6816
result0_5000,xmi,4854,5002,293,16211
result0_50000,xmi,51792,55279,3731,161084
result0_500000,xmi,517386,517384,29099,394692
result0_5000000,xmi,4962126,5263250,457524,1365994
